AA_MAXRMS,AA_NumberofsamplesaboveRMSTH,AA_LogicalIgnition,InstallStationId,AfterCrashStoppingStatus3,VehicleManu,VehicleModel,MokedStatusDesc,IMPACTX,IMPACTY,IMPACTZ,ORX,ORY,ORZ,Speed,XaxisEnabled,YaxisEnabled,ZaxisEnabled,IMPACTXYZAvg,MaxIMPACTAxis,vtype
3.2,1,0,0,1,Dacia,Sandero Stepway,false_alarm,-3.2,0.02,-0.056,0,-0.024,-0.964,1,1,1,0,5,X,Private                                 
2.7115,3,1,0,1,Citroen,C5 Aircross D,false_alarm,0.636,-2.636,0.768,-0.172,-0.132,-0.992,0,1,1,0,6,Y,CrossOver                               
4.488,1,0,0,1,Nissan,Qashqai,false_alarm,4.488,0.004,0.008,-0.008,-0.448,-0.9480001,1,1,1,0,6,X,CrossOver                               
2.13775,1,1,0,1,Dacia,Duster,false_alarm,-1.78,1.184,-1.068,0.032,0.444,-0.9440001,4,1,1,0,6,X,CrossOver                               
8.076,1,0,0,1,Dacia,Sandero Stepway,false_alarm,-0.056,8.076,-0.004,-0.164,0.06,-0.98,1,1,1,0,10,Y,Private                                 
4.344,1,0,0,1,Dacia,Sandero Stepway,false_alarm,0.008,4.344,0,0.152,0.008,-1.052,0,1,1,0,6,Y,Private                                 
2.34425,1,1,0,1,Renault,Grand Coupe,bumper,-0.308,-2.324,-2.04,-0.016,0.04,-1.04,4,1,1,0,6,Y,Private                                 
7.048,1,0,0,1,Dacia,Sandero Stepway,pit,7.048,0,0.004,0,-0.016,-0.992,1,1,1,0,9,X,Private                                 
5.757,3,1,0,1,Hyundai,I20,false_alarm,5.112,2.648,0.184,-0.312,0.136,-0.9680001,5,1,1,0,9,X,Private                                 
4.5,1,0,0,1,Renault,Clio,false_alarm,4.5,-0.004,0,0,-0.308,-0.9080001,0,1,1,0,6,X,Private                                 
3.31075,2,1,0,1,Nissan,X-trail,false_alarm,-0.988,-3.16,-0.9,-0.232,0.136,-0.928,0,1,1,0,7,Y,CrossOver                               
-5.48025,4,1,0,1,Hyundai,Accent,false_alarm,8.164001,7.228,5.5,0.06,0.148,0.9480001,0,1,1,0,15,X,Private                                 
